date,Ref-num,type,subtotal,fee,amount,status,memo,counterparty,note
2026-06-19 01:37:29 CDT,,,-$14.98,,-$14.98,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:37:17 CDT,,,-$21.88,,-$21.88,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:37:04 CDT,,,-$97.06,,-$97.06,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:36:52 CDT,,,-$145.34,,-$145.34,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:36:22 CDT,,Borrow,-$69.59,,-$69.59,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:36:12 CDT,,Borrow,-$31.25,,-$31.25,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:36:04 CDT,,Borrow,-$17.27,,-$17.27,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:53 CDT,,Borrow,-$60.32,,-$60.32,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:45 CDT,,Borrow,-$17.27,,-$17.27,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:36 CDT,,Borrow,-$61.26,,-$61.26,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:27 CDT,,Borrow,-$18.50,,-$18.50,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:17 CDT,,Borrow,-$34.87,,-$34.87,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-06-19 01:35:00 CDT,,Deposits,$500.00,$0.00,$500.00,COMPLETE,Add Cash,,Mastercard debit 5228
2026-06-19 01:34:34 CDT,,,-$50.51,,-$50.51,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:34:21 CDT,,,-$5.83,,-$5.83,COMPLETE,Afterpay,,Cash Balance
2026-06-19 01:33:41 CDT,ST$_MO_vkmqa7aaw4bcq14q081s7b-0002,Overdraft,-$135.00,$0.00,-$135.00,COMPLETE,repayment,,Cash Balance
2026-06-19 01:33:41 CDT,,Deposits,$350.00,$0.00,$350.00,COMPLETE,Add Cash,,Mastercard debit 5228
2026-06-17 12:47:15 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-17 05:08:09 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-15 10:23:07 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-14 17:43:45 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-13 13:17:00 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-06-12 10:39:38 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-12 02:00:09 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-10 22:16:57 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-06-10 17:44:02 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-06-10 05:07:42 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-09 12:32:06 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-08 20:19:05 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-08 17:00:52 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-06-08 07:16:54 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-06-07 11:37:23 CDT,,Cash Card,-$14.37,$0.00,-$14.37,FAILED,McDonalds 11652,,Cash Balance
2026-06-06 18:01:47 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-06 17:42:38 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,SpotifyAB,,Cash Balance
2026-06-06 12:58:21 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-05 18:24:18 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-05 16:16:51 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-06-05 05:33:57 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-04 17:43:38 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-06-04 13:15:00 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-03 08:07:39 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-06-03 08:07:38 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE COM BILL,,Cash Balance
2026-06-03 01:16:48 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-06-02 17:58:52 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-06-02 13:43:44 CDT,#D-L33X7727E,P2P,$1.00,,$1.00,FAILED,Help,Dedrick Meza,Cash Balance
2026-06-01 16:53:20 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-06-01 06:45:29 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-31 17:56:37 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-31 10:16:45 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-05-30 12:43:27 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-05-29 20:14:01 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-05-29 17:23:35 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-29 15:12:53 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-05-29 13:36:16 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-29 04:07:49 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER   *ONE MEMBERSHIP,,Cash Balance
2026-05-29 04:07:48 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-05-28 19:16:43 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-05-28 19:16:41 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-05-28 00:12:52 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-28 00:12:51 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE COM BILL,,Cash Balance
2026-05-27 17:10:11 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-26 04:16:38 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-05-25 17:25:07 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-25 06:12:32 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-24 04:10:42 CDT,,Cash Card,-$45.00,$0.00,-$45.00,FAILED,ZOHO* ZOHO-ONE,,Cash Balance
2026-05-23 17:37:40 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-23 13:16:35 CDT,,Cash Card,-$129.00,$0.00,-$129.00,FAILED,DOCKETWISE SOFTWARE,,Cash Balance
2026-05-22 07:11:10 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-21 04:31:40 CDT,,Cash Card,-$45.00,$0.00,-$45.00,FAILED,ZOHO* ZOHO-ONE,,Cash Balance
2026-05-21 04:26:47 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-20 08:04:28 CDT,,Cash Card,-$8.95,$0.00,-$8.95,FAILED,McDonalds 35249,,Cash Balance
2026-05-20 08:04:00 CDT,,Cash Card,-$8.95,$0.00,-$8.95,FAILED,McDonalds 35249,,Cash Balance
2026-05-20 07:08:48 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-20 07:08:47 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE COM BILL,,Cash Balance
2026-05-19 18:19:22 CDT,ST$_PE_pg80w2621tqaz7jtsd7ged-0001,Overdraft,-$15.00,$0.00,-$15.00,COMPLETE,repayment,,Cash Balance
2026-05-19 18:19:17 CDT,#D-XQQJDZ4NE,P2P,$15.00,$0.00,$15.00,COMPLETE,Hola,Robert Rice Jr,Cash Balance
2026-05-19 11:24:09 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-19 10:50:24 CDT,,Cash Card,-$5.00,$0.00,-$5.00,FAILED,ELEVENLABS.IO,,Cash Balance
2026-05-18 23:14:14 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-18 04:39:45 CDT,,Cash Card,-$45.00,$0.00,-$45.00,FAILED,ZOHO* ZOHO-ONE,,Cash Balance
2026-05-17 14:03:03 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-17 13:29:13 CDT,,Cash App Pay Payment,-$22.10,,-$22.10,COMPLETE,$22.10 Payment At DoorDash,,Cash Balance
2026-05-15 11:03:36 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-15 11:03:34 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE COM BILL,,Cash Balance
2026-05-15 03:29:35 CDT,,Cash Card,-$45.00,$0.00,-$45.00,FAILED,ZOHO* ZOHO-ONE,,Cash Balance
2026-05-15 02:50:21 CDT,,Cash Card,-$5.00,$0.00,-$5.00,FAILED,ELEVENLABS.IO,,Cash Balance
2026-05-14 23:29:15 CDT,#D-3VVVX2ZLZ,P2P,-$500.00,$0.00,-$500.00,COMPLETE,Transfer,Zaitullah Khebarkhil,Mastercard debit 5228
2026-05-14 21:53:51 CDT,#D-MJJJVG7ZK,P2P,$1.00,,$1.00,FAILED,Test,Zaitullah Khebarkhil,Cash Balance
2026-05-14 19:03:54 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-14 11:06:23 CDT,,Cash App Pay Payment,-$27.52,,-$27.52,COMPLETE,$27.52 Payment At DoorDash,,Cash Balance
2026-05-14 07:58:49 CDT,,Deposits,$13.43,$0.00,$13.43,FAILED,Add Cash,,Mastercard debit 9962
2026-05-13 20:56:55 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-13 20:56:54 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE COM BILL,,Cash Balance
2026-05-13 01:51:03 CDT,#D-6PG6GRENJ,P2P,-$14.04,$0.00,-$14.04,COMPLETE,Food,David Wheeler,Mastercard debit 9962
2026-05-12 09:42:15 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-05-11 19:19:02 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-11 10:45:38 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-10 19:19:25 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-09 09:42:07 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-05-09 07:54:41 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-08 21:01:37 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-08 16:42:27 CDT,#D-VRPLXEDJL,P2P,-$1.00,$0.00,-$1.00,COMPLETE,Fee,Lisa English,Mastercard debit 9962
2026-05-08 16:40:31 CDT,#D-RK8JGM9KN,P2P,-$8.00,$0.00,-$8.00,COMPLETE,Chase,Lisa English,Mastercard debit 9962
2026-05-07 22:09:16 CDT,#D-N73RZ2EPO,P2P,-$30.00,$0.00,-$30.00,COMPLETE,Food,Marques Wilson,Mastercard debit 9962
2026-05-07 11:38:12 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-07 07:58:09 CDT,,,-$8.96,,-$8.96,COMPLETE,Afterpay,,Cash Balance
2026-05-07 07:58:07 CDT,,Deposits,$8.96,$0.00,$8.96,FAILED,Add Cash,,Mastercard debit 5228
2026-05-07 07:54:13 CDT,,Deposits,$14.99,$0.00,$14.99,FAILED,Add Cash,,Mastercard debit 5228
2026-05-06 18:03:59 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-06 14:21:21 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-06 07:32:11 CDT,,Deposits,$85.18,$0.00,$85.18,FAILED,Add Cash,,Mastercard debit 5228
2026-05-06 07:30:56 CDT,,Deposits,$127.52,$0.00,$127.52,FAILED,Add Cash,,Mastercard debit 5228
2026-05-06 06:02:05 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-05 18:04:48 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-05 17:42:00 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-05-05 14:12:52 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-05 10:50:18 CDT,,Cash Card,-$5.00,$0.00,-$5.00,FAILED,ELEVENLABS.IO,,Cash Balance
2026-05-05 10:50:13 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,APPLE.COM/BILL,,Cash Balance
2026-05-04 18:49:02 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-04 07:39:32 CDT,,Deposits,$19.18,$0.00,$19.18,FAILED,Add Cash,,Mastercard debit 5228
2026-05-03 18:23:07 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-02 18:40:09 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-02 14:50:16 CDT,,Cash Card,-$5.00,$0.00,-$5.00,FAILED,ELEVENLABS.IO,,Cash Balance
2026-05-02 02:34:43 CDT,,,-$0.83,$0.00,-$0.83,COMPLETE,QIALLY GOSQ.COM,,Cash Balance
2026-05-01 18:13:23 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-05-01 15:13:43 CDT,,,-$5.00,$0.00,-$5.00,COMPLETE,QIALLY GOSQ.COM,,Cash Balance
2026-05-01 13:19:55 CDT,ST$_PE_q52z47z7jeyq8eg2dz5fss-0001,Overdraft,-$5.00,$0.00,-$5.00,COMPLETE,repayment,,Cash Balance
2026-05-01 13:19:51 CDT,#D-552ZJGZRD,P2P,$5.00,$0.00,$5.00,COMPLETE,Gas,Lisa English,Cash Balance
2026-05-01 07:41:53 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-04-30 18:58:09 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-04-30 16:11:18 CDT,,Cash Card,-$11.99,$0.00,-$11.99,FAILED,Amazon Digital Svcs,,Cash Balance
2026-04-30 13:23:29 CDT,,Deposits,$60.00,$0.00,$60.00,FAILED,Add Cash,,Visa debit 0943
2026-04-30 07:58:03 CDT,,,-$4.48,,-$4.48,COMPLETE,Afterpay,,Cash Balance
2026-04-30 07:58:02 CDT,,Deposits,$4.48,$0.00,$4.48,FAILED,Add Cash,,Mastercard debit 5228
2026-04-30 07:53:30 CDT,,,-$7.50,,-$7.50,COMPLETE,Afterpay,,Cash Balance
2026-04-30 07:53:28 CDT,,Deposits,$7.50,$0.00,$7.50,FAILED,Add Cash,,Mastercard debit 5228
2026-04-30 03:05:11 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER   *ONE MEMBERSHIP,,Cash Balance
2026-04-30 03:05:10 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-04-29 21:53:51 CDT,,,-$20.17,$0.00,-$20.17,COMPLETE,DD *DOORDASH PAPAJOHNS,,Cash Balance
2026-04-29 21:39:05 CDT,,Cash Card,-$30.08,$0.00,-$30.08,FAILED,SIMPLEMOBILE*AIRTIME,,Cash Balance
2026-04-29 21:00:42 CDT,,Borrow,-$30.48,,-$30.48,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-29 20:57:07 CDT,,,-$129.00,$0.00,-$129.00,COMPLETE,QIALLY GOSQ.COM,,Cash Balance
2026-04-29 20:55:26 CDT,,,-$4.67,,-$4.67,COMPLETE,Afterpay,,Cash Balance
2026-04-29 20:55:25 CDT,,,-$10.14,,-$10.14,COMPLETE,Afterpay,,Cash Balance
2026-04-29 20:55:24 CDT,,,-$13.41,,-$13.41,COMPLETE,Afterpay,,Cash Balance
2026-04-29 20:55:23 CDT,,,-$13.41,,-$13.41,COMPLETE,Afterpay,,Cash Balance
2026-04-29 20:55:22 CDT,,Borrow,-$1.73,,-$1.73,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-29 20:55:11 CDT,ST$_MARQETA_ACH_bcc6f67c-854a-55d5-9e32-3d6236b2c900,Overdraft,-$149.47,$0.00,-$149.47,COMPLETE,repayment,,Cash Balance
2026-04-29 20:55:11 CDT,,,$223.31,$0.00,$223.31,COMPLETE,CN326788   ZECK' PAYROLL,,Cash Balance
2026-04-29 19:41:46 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-04-29 18:05:57 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-04-29 07:31:40 CDT,,,-$70.99,,-$70.99,COMPLETE,Afterpay,,Cash Balance
2026-04-29 07:31:38 CDT,,Deposits,$70.99,$0.00,$70.99,FAILED,Add Cash,,Mastercard debit 5228
2026-04-29 07:30:48 CDT,,,-$106.27,,-$106.27,COMPLETE,Afterpay,,Cash Balance
2026-04-29 07:30:46 CDT,,Deposits,$106.27,$0.00,$106.27,FAILED,Add Cash,,Mastercard debit 5228
2026-04-28 14:38:18 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-04-28 10:50:08 CDT,,Cash Card,-$5.00,$0.00,-$5.00,FAILED,ELEVENLABS.IO,,Cash Balance
2026-04-27 16:11:18 CDT,,Cash Card,-$11.99,$0.00,-$11.99,FAILED,Amazon Digital Svcs,,Cash Balance
2026-04-27 14:13:52 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER   *ONE MEMBERSHIP,,Cash Balance
2026-04-27 14:13:51 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-04-27 07:39:52 CDT,,,-$14.39,,-$14.39,COMPLETE,Afterpay,,Cash Balance
2026-04-27 07:39:51 CDT,,Deposits,$14.39,$0.00,$14.39,FAILED,Add Cash,,Mastercard debit 5228
2026-04-26 20:46:39 CDT,,Cash Card,-$12.99,$0.00,-$12.99,FAILED,Spotify USA,,Cash Balance
2026-04-25 19:25:29 CDT,#D-8PM7V6RXG,P2P,-$21.34,$0.00,-$21.34,COMPLETE,Cash,Zaitullah Khebarkhil,JPMORGAN CHASE BANK NA DEBIT
2026-04-25 02:41:39 CDT,,Cash Card,-$20.00,$0.00,-$20.00,FAILED,OPENAI *CHATGPT SUBSCR,,Cash Balance
2026-04-24 20:34:18 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER   *ONE MEMBERSHIP,,Cash Balance
2026-04-24 20:34:17 CDT,,Cash Card,-$9.99,$0.00,-$9.99,FAILED,UBER *ONE MEMBERSHIP,,Cash Balance
2026-04-24 18:42:43 CDT,,Borrow,-$64.27,,-$64.27,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-24 18:42:41 CDT,,Deposits,$64.27,$0.00,$64.27,FAILED,Add Cash,,Mastercard debit 5228
2026-04-24 16:11:20 CDT,,Cash Card,-$11.99,$0.00,-$11.99,FAILED,Amazon Digital Svcs,,Cash Balance
2026-04-24 14:28:19 CDT,,,-$20.47,$0.00,-$20.47,COMPLETE,DD *DOORDASH PAPAJOHNS,,Cash Balance
2026-04-24 14:08:45 CDT,,,-$30.23,$0.00,-$30.23,COMPLETE,DOLLAR GENERAL #11539,,Cash Balance
2026-04-24 14:01:42 CDT,,Cash Card,-$51.23,$0.00,-$51.23,FAILED,DOLLAR GENERAL #11539,,Cash Balance
2026-04-24 11:52:04 CDT,,,-$15.51,$0.00,-$15.51,COMPLETE,Arona Home Essentials Sto,,Cash Balance
2026-04-24 10:44:01 CDT,,Borrow,-$28.87,,-$28.87,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-24 10:44:00 CDT,,Deposits,$28.87,$0.00,$28.87,FAILED,Add Cash,,Mastercard debit 5228
2026-04-24 10:41:59 CDT,,,-$9.04,$0.00,-$9.04,COMPLETE,MCDONALD'S F6324,,Cash Balance
2026-04-24 09:55:44 CDT,,,-$19.23,$0.00,-$19.23,COMPLETE,ACE HDWE OF EVANSVILLE,,Cash Balance
2026-04-24 07:34:23 CDT,,,-$20.03,,-$20.03,COMPLETE,Afterpay,,Cash Balance
2026-04-24 07:34:22 CDT,,Deposits,$20.03,$0.00,$20.03,COMPLETE,Add Cash,,Mastercard debit 5228
2026-04-24 07:29:02 CDT,,,-$9.99,$0.00,-$9.99,COMPLETE,APPLE.COM/BILL,,Cash Balance
2026-04-24 04:21:13 CDT,,,-$45.00,$0.00,-$45.00,COMPLETE,ZOHO* ZOHO-ONE,,Cash Balance
2026-04-23 07:57:27 CDT,,,-$13.44,,-$13.44,COMPLETE,Afterpay,,Cash Balance
2026-04-23 07:57:26 CDT,,Deposits,$13.44,$0.00,$13.44,COMPLETE,Add Cash,,Mastercard debit 5228
2026-04-23 07:53:57 CDT,,,-$22.48,,-$22.48,COMPLETE,Afterpay,,Cash Balance
2026-04-23 07:53:56 CDT,,Deposits,$22.48,$0.00,$22.48,COMPLETE,Add Cash,,Mastercard debit 5228
2026-04-22 20:57:50 CDT,,Borrow,-$26.38,,-$26.38,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-22 20:52:39 CDT,,,-$13.05,,-$13.05,COMPLETE,Afterpay,,Cash Balance
2026-04-22 20:52:38 CDT,,Borrow,-$6.24,,-$6.24,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-22 20:52:37 CDT,,Borrow,-$15.88,,-$15.88,COMPLETE,Borrowing in Cash App,,Cash Balance
2026-04-22 20:52:25 CDT,ST$_MARQETA_ACH_3db0c838-a5f0-5156-8040-cc4a73a5a57e,Overdraft,-$145.79,$0.00,-$145.79,COMPLETE,repayment,,Cash Balance
2026-04-22 20:52:25 CDT,,,$207.34,$0.00,$207.34,COMPLETE,CN326788   ZECK' PAYROLL,,Cash Balance
2026-04-22 07:31:56 CDT,,,-$56.79,,-$56.79,COMPLETE,Afterpay,,Cash Balance
2026-04-22 07:31:54 CDT,,Deposits,$56.79,$0.00,$56.79,FAILED,Add Cash,,Mastercard debit 5228
2026-04-22 07:30:56 CDT,,,-$85.02,,-$85.02,COMPLETE,Afterpay,,Cash Balance
