Journal Number,Journal Number Prefix,Journal Number Suffix,Journal Created By,Journal Date,Journal Type,Status,Journal Entity Type,Reference Number,Notes,Exchange Rate,Item Order,Project Name,Debit,Credit,Account,Account Code,Contact Name,Currency,Total,Description
JO-00014,JO-,00014,Cody Rice-Velasquez,2025-02-16,Both,Published,Journal,,End of Week Clearing Account Closure. 02/02,1.000000000000,1,,0,1109.000,Arleth Clearing,00950,,USD,1109.000,End of Week Clearing Account Closure. 02/16
JO-00014,JO-,00014,Cody Rice-Velasquez,2025-02-16,Both,Published,Journal,,End of Week Clearing Account Closure. 02/02,1.000000000000,2,,1109.000,0,Payments-Arleth,14330,,USD,1109.000,End of Week Clearing Account Closure. 02/16
JO-00015,JO-,00015,Cody Rice-Velasquez,2025-01-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00015,JO-,00015,Cody Rice-Velasquez,2025-01-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00016,JO-,00016,Cody Rice-Velasquez,2025-02-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00016,JO-,00016,Cody Rice-Velasquez,2025-02-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00017,JO-,00017,Cody Rice-Velasquez,2025-12-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00017,JO-,00017,Cody Rice-Velasquez,2025-12-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00018,JO-,00018,Cody Rice-Velasquez,2025-11-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00018,JO-,00018,Cody Rice-Velasquez,2025-11-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00019,JO-,00019,Cody Rice-Velasquez,2025-10-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00019,JO-,00019,Cody Rice-Velasquez,2025-10-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00020,JO-,00020,Cody Rice-Velasquez,2025-09-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00020,JO-,00020,Cody Rice-Velasquez,2025-09-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00021,JO-,00021,Cody Rice-Velasquez,2025-08-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00021,JO-,00021,Cody Rice-Velasquez,2025-08-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00022,JO-,00022,Cody Rice-Velasquez,2025-07-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00022,JO-,00022,Cody Rice-Velasquez,2025-07-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00023,JO-,00023,Cody Rice-Velasquez,2025-06-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00023,JO-,00023,Cody Rice-Velasquez,2025-06-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00024,JO-,00024,Cody Rice-Velasquez,2025-05-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00024,JO-,00024,Cody Rice-Velasquez,2025-05-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00025,JO-,00025,Cody Rice-Velasquez,2025-04-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00025,JO-,00025,Cody Rice-Velasquez,2025-04-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
JO-00026,JO-,00026,Cody Rice-Velasquez,2025-03-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,1,,0,49.000,Expenses Planned,12700,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Software
JO-00026,JO-,00026,Cody Rice-Velasquez,2025-03-01,Both,Published,Journal,,For Ultimate Tax License,1.000000000000,2,,49.000,0,Cost of Service,02000,IIS INNOVATAX SOLUTIONS LLC,USD,49.000,Tax Wise Softeware
