State,Done,Task,Due Date,Projects/Subprojects,Status,Priority,Created,Created By,Edited,Assignee,Quick Capture Box,Sub-Tasks,Parent Task,Start Date,Cold,Late,Parent Project,Priority Project,Sub-Task Count,Connection,Media,Updated,Kanban: Days,Kanban: Teams
😀,Yes,Artículos quincenales #blog,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Zoho Books para contabilidad,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Prepare a witness list and gather witness statements.,"June 27, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Notices Reports,"January 2, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Zoho Tables Deep Dive Webinar | Register now,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Your order has been prescribed,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,SRV_Capital_Holdings_Inc._Master_Service_agreement_completed 01-01-2024 06_00_25_925,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Finanzas y Contabilidad,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Regions Bank requests feedback on your recent branch visit,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Confirmación y preparación de pedido,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Siri Reminder June 16, 2024 at 10:14PM",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Payroll Reports (If Applicable),"January 2, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,USCISAliensChangeofAddressCard_Report,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Zoho Books - Your subscription is renewed,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Square Debit Card: Transaction Declined,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Twilio usage summary for June 2024 is now available,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
🔴 Running Late,No,07192024_INVOICE,"July 31, 2024",,Not started,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",,No,,,,Yes,☠️ Late,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,Your statement is ready for account ending in (...9266),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Payment reminder,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Trash Day,"July 31, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",trevensio0@gmail.com,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Gestión de Pedidos,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,$7 Pizzas for Cody 🍕,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
🔴 Running Late,No,Client Intake,"August 15, 2024 → August 15, 2024",,Not started,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",Cody,No,,,,Yes,☠️ Late,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,Execute plans,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,SRV1ne Service Terms_completed,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Cody, these SEO, Internet Marketing, and Marketing projects and contests might interest you",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Content Calendar,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
🔴 Running Late,No,Your Shippo Invoice Receipt,"July 27, 2024",,Not started,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",,No,,,,Yes,☠️ Late,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,06172024_Marathon Pipe Line llc,"June 28, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Monthly,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Since you set a Office Assistant alert, improve your Office Assistant skills with these courses",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Pictures,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Are you the right person to send this report?,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,SRVGROUP BACKUP,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Publicaciones semanales #socialmedia,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Carlos Contreras Hernandez 17-05-2024 03_18_58_209,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Zaitullah Jan Resume for KNowledge,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Square Debit Card: Transaction Declined,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,New Portal for SRV1,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Delivered: Your Amazon.com order #113-0906554-4375414,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Bills,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Delivery delayed,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,610274510,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Mail a Copy to the Plaintiff's Attorney: Send a copy of the filed response to the plaintiff's attorney, Kara James, Esq., at Zwicker & Associates, P.C.","June 18, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes, Update: Your registration is complete 🎉,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,D03F27B5A68320240519160235_album_local_cache,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,2024.05.17 - Doc Scanner (1),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,[Action Requested] Participate in a Google Ads user study,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,TreverB-signedAgreement,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Your Amazon.com order of ""Plikapli Scrolling LED Car..."" has shipped!",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,CertifiedCopiesAttachments (2),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Your Amazon.com order of ""Wet Platinum Silicone-Based..."" has been canceled.",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Cody: 2 Credit Report Alerts - Review ASAP,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Update 1040,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,DS70_Lite_64_NA,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Purchase Contracts,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,SEO Optimization,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Publish your favorite Applets,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Join the Fun with Our Product Promotion!🎁🤑,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"Your Amazon.com order of ""Epson® Workforce® Pro..."".",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,An invoice was paid by Cody Rice-Velasquez! (#000037),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,1a6b0375-74e3-4d60-bda9-0273f5920dd9.png,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,CertifiedCopiesAttachments (4),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,9. Compliance Requirements,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Your Charging Access is Now Unavailable,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Here's your agenda view for the week,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,automations,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
🔴 Running Late,No,"07192024_We need information from you to process your Form W-7, ","July 27, 2024",,Not started,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",,No,,,,Yes,☠️ Late,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,02012024_Name_ CLAUDIA GONZALEZ ARRONIS LLC,"July 4, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Update 1065,"June 13, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Gather financial records of Servicios Rice-Velasquez Tax & Multiservice LLC.,"June 19, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",,No,,,,No,,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,Collect relevant contracts or agreements.,"June 26, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"06212024_Consoridate Debt Up to $75,000","July 7, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Export Statements,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,06262024_Notary Acknowledgment_,"July 2, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 13, 2025 11:27 PM",,No,,,,No,,,,,,,"March 13, 2025 11:27 PM",,
😀,Yes,An invoice was paid by Zaitullah Jan Khebarkhil! (#000032),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Case Task - Review note from July 11th,"July 20, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 13, 2025 11:28 PM",Cody,No,,,,No,,,,,,,"March 13, 2025 11:28 PM",,
😀,Yes,License and Permits (If Applicable) Requested Items,"January 2, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Fundbox,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Square Debit Card: Transaction Declined,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Square Debit Card: Transaction Declined,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Verify your Google Account contact email address,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,A new invoice was created for Zaitullah Jan Khebarkhil (#000032),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Campañas de publicidad en línea,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,root_policy_20240523 (1),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Weekly,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Blog y SEO,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"06232024_BMV Insurance Requirement for Licensed INDIANA Drivers ","June 27, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Comcast_Business_Invoice_8529200866267843-04-22-2024[852920086626784320240422BB],,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Finalize Return and Submit,"June 29, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,ito.intuit.com-,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Consultation meeting to review report,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Rent Due,"July 1, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM","trevensio0@gmail.com, Zaitullah Jan, pedro.ovalle@ms-il.com",No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,WalletHub’s New Feature: Monitor your accounts and transactions for suspicious activity,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Delivered: Your Amazon.com order #113-9675653-9698662,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Estrategias de marketing de contenido,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Checking-In,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Consider Legal Representation: Seek legal representation to ensure the response is handled properly and explore possible defenses or counterclaims.,"June 7, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Square Debit Card: Transaction Declined,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Plan de financiamiento,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,07262023_SRV Property Management LLC Signature requested on July,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,qrcode_www.youtube.com.png,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,3000P0119738803_EN-US,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,"noreply@zoho.com-Zoho Mail Export details for folder ""Inbox""",,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Your Temu order has been transferred to USPS for delivery (#PO-211-14763454823033411),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,htm3ua2c,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,IMG_7222,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
🔴 Running Late,No,07192024_INVOICE_001,"July 31, 2024",,Not started,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:49 PM",,No,,,,Yes,☠️ Late,,,,,,"March 6, 2025 7:49 PM",,
😀,Yes,New Task,"July 19, 2024",,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 13, 2025 11:28 PM",Cody,No,,,,No,,,,,,,"March 13, 2025 11:28 PM",Monday,My Tasks
😀,Yes,Instructions to submit account,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Account Update – A request has been made to change your SoFi email address,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,account_transactions (1),,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Case Task,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,sales,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,15 more days of Square Invoices Plus,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,7778420,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Creación de identidad de marca,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
😀,Yes,Transactions_MAY-DECEMBER2023 (1)_Transactions_MAY-DECEMBER2023 (,,,Done,✨ Medium,"July 22, 2024 1:51 AM",Notion App,"March 6, 2025 7:50 PM",,No,,,,No,,,,,,,"March 6, 2025 7:50 PM",,
