Record Id,S.NO,QuotedItems Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Last Activity Time,Layout.id,Parent.id,Currency,Exchange Rate,Offering Name.id,Description,Quantity,Price Book.id,List Price,Amount,Discount,Total After Discount,Tax,Total
zcrm_5861855000010098024,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-22 19:12:11,2024-03-22 19:12:11,,zcrm_5861855000000233418,zcrm_5861855000010098023,USD,1.000000000,zcrm_5861855000004049026,IMPUESTOS DEL ESTADO Y REGISTRACION,1.0,,172.0,172,0.0,172,0.0,172
zcrm_5861855000010098025,2,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-22 19:12:11,2024-03-22 19:12:11,,zcrm_5861855000000233418,zcrm_5861855000010098023,USD,1.000000000,zcrm_5861855000000662001,"SERVICIO
+$40 INSPECCION DE CARRO DEL OTRO ESTADO
+$15 - BILL OF SALE
+$15 - ODOMETER STATEMENT",1.0,,370.0,370,0.0,370,0.0,370
zcrm_5861855000010098026,3,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-22 19:12:11,2024-03-22 19:12:11,,zcrm_5861855000000233418,zcrm_5861855000010098023,USD,1.000000000,zcrm_5861855000000803005,ESTIMADO,1.0,,180.0,180,0.0,180,0.0,180
zcrm_5861855000010098027,4,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-03-22 19:12:11,2024-03-22 19:12:11,,zcrm_5861855000000233418,zcrm_5861855000010098023,USD,1.000000000,zcrm_5861855000009289001,,1.0,,100.0,100,0.0,100,0.0,100
zcrm_5861855000011556074,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-04-14 11:12:46,2024-04-14 11:12:46,,zcrm_5861855000000233418,zcrm_5861855000011556073,USD,1.000000000,zcrm_5861855000011409157,"- **Impuestos El Contractista - Paquete C**
 - Incluye todo en los paquetes A (Impuestos BÃ¡sico 1040A) y B (Padre del Hogar) mÃ¡s:
 - (5) 1099-NEC o 1099-MISC adicionales.
 - Primer Anexo C (Schedule C) y hojas de cÃ¡lculo relacionadas para gastos de vehÃ­culos, coches y camiones.

Adicional
- $15 por cada forma mÃ¡s.
- $50 por cada estado mÃ¡s.
- $15 por depreciaciÃ³n de otros activos, por activo.
- $100 por cada schedule c adicional

Precio promedio a nivel nacional: $360.00
Se ajustarÃ¡ basado en los servicios adicionales.
Maximiza deducciones con nuestro servicio para contratistas.

Formas: 12 (5 W-2 + 7 1099 [NEC o MISC])
Schedules: 7 (Schedule C)
Federal Limites: 
1040, Sch 1,2,3; ES; EIC; CTC; Credit Worksheets; Sch C (1); 4562 (1); Regular Worksheets; w2 (5); 1099INT (2); 1099NEC or MISC (5)
Total: 22

**PARA LAS DECLARACIONES DE IMPUESTOS DE EMPRESAS Y LA PRESENTACIÃ N DE 1099, ESTAS TARIFAS CORRESPONDEN Ã NICAMENTE A LA PRESENTACIÃ N DE IMPUESTOS. CUALQUIER CONTABILIDAD O TENEDURÃ A DE LIBROS REQUERIDA PARA PODER REALIZAR LA DECLARACIÃ N SE COBRARÃ  POR SEPARADO. LA REVISIÃ N DE ESTADOS DE CUENTA BANCARIOS TIENE UN COSTO DE $20 POR ESTADO DE CUENTA MÃ S $0.50 POR TRANSACCIÃ N. ESTO APLICA TAMBIÃ N PARA EL CÃ LCULO DE LOS 1099.**",1.0,,250.0,250,0.0,250,0.0,250
zcrm_5861855000011556075,2,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-04-14 11:12:46,2024-04-14 11:12:46,,zcrm_5861855000000233418,zcrm_5861855000011556073,USD,1.000000000,zcrm_5861855000011409137,,2.0,,100.0,200,0.0,200,0.0,200
zcrm_5861855000011556076,3,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-04-14 11:12:46,2024-04-14 11:12:46,,zcrm_5861855000000233418,zcrm_5861855000011556073,USD,1.000000000,zcrm_5861855000011409168,"Cargos por Formularios Adicionales

$15 por cada formulario adicional.",2.0,,15.0,30,0.0,30,0.0,30
zcrm_5861855000011556077,4,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-04-14 11:12:46,2024-04-14 11:12:46,,zcrm_5861855000000233418,zcrm_5861855000011556073,USD,1.000000000,zcrm_5861855000011556009,,1.0,,24.0,24,0.0,24,0.0,24
zcrm_5861855000016047044,1,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-08-21 00:44:56,2024-08-21 00:44:56,,zcrm_5861855000000233418,zcrm_5861855000016047043,USD,1.000000000,zcrm_5861855000011409120,,1.0,,400.0,400,0.0,400,0.0,400
zcrm_5861855000016047045,2,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,2024-08-21 00:44:56,2024-08-21 00:44:56,,zcrm_5861855000000233418,zcrm_5861855000016047043,USD,1.000000000,zcrm_5861855000004049026,BMV FILINGS,1.0,,400.0,400,0.0,400,0.0,400
