Id,Old Attachment Id,File Name,File Id,Size,Created Time,Modified Time,Created By.id,Modified By.id,Owner.id,Parent.id
t7rsy10a2cbe3ead4415c8bd02b53da0dbfc8_02102024_2023.jpg,zcrm_5861855000007155386,02102024_2023.jpg,t7rsy10a2cbe3ead4415c8bd02b53da0dbfc8,446992,2024-02-10 19:28:20,2024-02-10 19:28:20,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000007155083
tl8pofbc413961cc44a6e98f0247370218269_2022-W2-EL TORO.jpg,zcrm_5861855000007279142,2022-W2-EL TORO.jpg,tl8pofbc413961cc44a6e98f0247370218269,191421,2024-02-12 14:35:51,2024-02-12 14:35:51,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000007279067
3vw6aa5b79503b5ba433588ace483833dca7e_W2-2023.pdf,zcrm_5861855000007370207,W2-2023.pdf,3vw6aa5b79503b5ba433588ace483833dca7e,221229,2024-02-14 16:06:56,2024-02-14 16:06:56,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000006800005
tmwxla5a419d32d214baab76a704183d3d266_20240227172046.pdf,zcrm_5861855000008156025,20240227172046.pdf,tmwxla5a419d32d214baab76a704183d3d266,524584,2024-02-27 17:21:37,2024-02-27 17:21:37,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000008154098
cv1ahe5363d8327b04c78a0856607e16f9405_20240228052440.pdf,zcrm_5861855000008183090,20240228052440.pdf,cv1ahe5363d8327b04c78a0856607e16f9405,1225144,2024-02-28 05:41:42,2024-02-28 05:41:42,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000007539004
0zelo90a6a88e935c482cb9fa4628601519b7_Victor Herrera Sotelo - W2 Tax 2024.jpeg,zcrm_5861855000009714009,Victor Herrera Sotelo - W2 Tax 2024.jpeg,0zelo90a6a88e935c482cb9fa4628601519b7,576421,2024-03-20 07:58:54,2024-03-20 07:58:54,zcrm_5861855000004627001,zcrm_5861855000004627001,zcrm_5861855000004627001,zcrm_5861855000009714006
ewyxjd7c637f0be3c4b1e93635b9eb08fcdee_LuisMarioPedro-W2-Tax2024.jpeg,zcrm_5861855000010108024,LuisMarioPedro-W2-Tax2024.jpeg,ewyxjd7c637f0be3c4b1e93635b9eb08fcdee,239613,2024-03-23 18:27:17,2024-03-23 18:27:17,zcrm_5861855000008366001,zcrm_5861855000008366001,zcrm_5861855000008366001,zcrm_5861855000010108021
l785716fa9bfe78034b89b963f4fc24f9c37b_Israel w2 2023.pdf,zcrm_5861855000010524036,Israel w2 2023.pdf,l785716fa9bfe78034b89b963f4fc24f9c37b,1093603,2024-03-31 18:06:34,2024-03-31 18:06:34,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000009818033
l7857efa5c93d2d544bd792d914fd3832213b_Israel w2 2022.pdf,zcrm_5861855000010524037,Israel w2 2022.pdf,l7857efa5c93d2d544bd792d914fd3832213b,1113060,2024-03-31 18:06:34,2024-03-31 18:06:34,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000009818033
tbkrdc168f31a460948e3a16382764973abdb_Israel w2 2023.pdf,zcrm_5861855000011057109,Israel w2 2023.pdf,tbkrdc168f31a460948e3a16382764973abdb,1093603,2024-04-05 23:21:39,2024-04-05 23:21:39,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000000432001,zcrm_5861855000011057076
