Business Name,Address,Address Line 2,City,State,ZIP,Country,Entity Report Due,Entity Report Past Due,Pending Dissolution,Dissolved,date close
DOMINGO MARQUIN-MENDOZA LLC,1929 HOWARD ST ,INDIANAPOLIS,INDIANAPOLIS,IN,46221,USA,FALSE,FALSE,FALSE,FALSE,
DULCEâ€™S AROMATHERAPY CO,3585 COMMERCIAL DR BOOTH #633,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
"DULCE'S AROMATHERAPY & PRODUCTS, LLC",3585 COMMERCIAL DRIVE STE 830,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
DUVIS REMODELING LLC,8821 BEL AIR DR,INDIANAPOLIS,INDIANAPOLIS,IN,46226,USA,FALSE,FALSE,FALSE,FALSE,
E & D FRAMING LLC,1335 E 96TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46240,USA,FALSE,FALSE,FALSE,FALSE,
E & M FINANCIAL SERVICES LLC,7067 N MICHIGAN RD ,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
EDI SANOTS CARRANZA SANCHEZ LLC,7076 PORTLAND SQ,INDIANAPOLIS,INDIANAPOLIS,IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
EDSON YAHIR BOGARIN DE LA CRUZ LLC,3226 FALCON DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
EDWIN GALIDNO LLC,5030 ELLIOTT AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
EICG LLC,8013 STONEHINGE CT N,"APT 182, INDIANAPOLIS","APT 182, INDIANAPOLIS",IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
El Amigo Chapin LLC,315 MILL STREET,SEYMOUR,SEYMOUR,IN,47274,USA,FALSE,FALSE,FALSE,FALSE,
EL KIOSCO LLC,3585 COMMERCIAL DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
ELECTRONICOS NACHITO LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
ELECTRONICOS ORTIZ LLC,1411 ENGLISH AVE,", INDIANAPOLIS",", INDIANAPOLIS",IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
ELLI STUDIO LLC,3241 MILAN ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
ESMERALDA LISSETTE GUERRA RODRIGUEZ LLC,3654 N GLEN ARM RD,"D, INDIANAPOLIS","D, INDIANAPOLIS",IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Espana Construction LLC,3238 NORWICH LANE,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
ESTATE REAL CORP,13497 ALLEGIANCE DR.,FISHERS,FISHERS,IN,46037,USA,FALSE,FALSE,FALSE,FALSE,
EVELYN YESENIA LLC,1015 WALDEMERE AVE. ,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
FASHION FLIP LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
FELICITAS HERNANDEZ LLC,4446 W. 34TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
FELIPE D VELIZ TURCIOS LLC,9328 RACQUETBALL DR APT C ,INDIANAPOLIS,INDIANAPOLIS,IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
FELIX EL BARATILLO LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
FELIX GONZALEZ ORTIZ LLC,950 N TREMONT ST,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
FPS LLP,,,,,,,FALSE,FALSE,FALSE,FALSE,
Francisco Garcia Fonseca LLC,611 GARDEN ST,"TRLR #15, COLUMBUS","TRLR #15, COLUMBUS",IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
FRANSAN DETAILING LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
G&R CARPENTER LLC,253 NORTH VAN BURAN ST.,FRANKFORT,FRANKFORT,IN,46041,USA,FALSE,FALSE,FALSE,FALSE,
Gabriel Trujillo Tamariz LLC,611 GARDEN ST,"11, COLUMBUS","11, COLUMBUS",IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
GAMA'S ROOFING & REMODELING LLC,732 JEWELL ST ,COLUMBUS ,COLUMBUS ,IN,47220,USA,FALSE,FALSE,FALSE,FALSE,
Garcia Cleaning Services LLC,3585 COMMERCIAL DRIVE,"730, INDIANAPOLIS","730, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
GARCIA PAINTING PRO LLC,2635 SHIRLEY DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
GENERAL CONSTRUCTION GROUP LLC,768 CARLYLE PL,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
GENERAL REMODELING BARAJAS LLC,2504 BROOKSIDE AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
GENERAL.CONSTRUCTION GROUP LLC,768 CARLYLE PL,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
GLADIOLA LLC,2409 RALEIGH BLVD,SHELBYVILLE,SHELBYVILLE,IN,46176,USA,FALSE,FALSE,FALSE,FALSE,
Glamour Touch LLC,8517 SANSA ST.,CAMBY,CAMBY,IN,46113,USA,FALSE,FALSE,FALSE,FALSE,
Golosinas La Jarocha LLC,2767 S DELAWARE ST,INDIANAPOLIS,INDIANAPOLIS,IN,46225,USA,FALSE,FALSE,FALSE,FALSE,
H&M Solutions LLC,4323 MAJESTIC LN,"K, INDIANAPOLIS","K, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
HERUVIEL MORALES LLC,3246 WELLER DR,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
IDM MEDIA GROUP LTD.,3585 COMMERCIAL DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
IFIX REPAIR CENTER & VAPE SHOP LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
IK Roofing LLC,3149 N FULLER DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
ILCM PAINTING CLEANING & REMODELING LLC,3320 W 33RD ST,"B, INDIANAPOLIS","B, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Indy Commercial Roofing LLC,3585 COMMERCIAL DRIVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
INDY FUDS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
INDY TAPING AND DRYWALL LLC,519 N MORELAND AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Innova Floors LLC,5855 SAN CLEMENTE LN,INDIANAPOLIS,INDIANAPOLIS,IN,46226,USA,FALSE,FALSE,FALSE,FALSE,
INNOVA HIRE LLC,7305 NANTUCKET COURT,"2C, INDIANAPOLIS","2C, INDIANAPOLIS",IN,46214,USA,FALSE,FALSE,FALSE,FALSE,
INNOVAFLOW SOLUTIONS LLC,119 S WESTERN AVE,"UNIT 1, CHICAGO","UNIT 1, CHICAGO",IL,60612,USA,FALSE,FALSE,FALSE,FALSE,
ISABEL S AVILA LLC,4235 CARSON LN,INDIANAPOLIS,INDIANAPOLIS,IN,46227,USA,FALSE,FALSE,FALSE,FALSE,
"Isael Construction, LLC",2924 SOUTH FLEMING ST,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
Isaura Construction LLC,2067 EGRET CT APT C ,INDIANAPOLIS,INDIANAPOLIS,IN,46260,USA,FALSE,FALSE,FALSE,FALSE,
IVIS HUMBERTO MEJIA AGUILAR LLC,5217 WOODBROOK DR,"D, INDIANAPOLIS","D, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
J & R TORRES CONSTRUCTION LLC,3049 BEELER AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
JAENSOMAR HANDYMAN LLC,1205 ARCHWAY DRIVE,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
JAUREGUI BARAJAS BRAULIO LLC,3466 GEORGETOWN RD,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Javier A Ocon Siles LLC,5308 W 22 ST,"B, INDIANAPOLIS","B, INDIANAPOLIS",IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Javier Jimenez Onofre LLC,2441 S RYBOLT AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
JAZMIN FASHION LLC,3585 COMMERCIAL DR,"BOOTH 827, INDIANAPOLIS","BOOTH 827, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
JB Construction LLP,1335 E 96TH ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46240,USA,FALSE,FALSE,FALSE,FALSE,
JCM REMODELING LLC,3432 ELLEN DR.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
JESSI'S ACCESORIES LLC,2725 FALCON DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
JMC CONTRACTORS LLC,5410 BURGESS AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
JMG PAINTING AND CONSTRUCTION LLC,5323 W 53RD ST,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
JORGE OSORINIO LLC,4458 ARISTOCRAT LN,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Jose Bernabe Badillo Fuentes LLC,4725 W 52ND ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
Jose Luis Reyes Salazar LLC,9998 DIANE WEST DR,COLUMBUS,COLUMBUS,IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
JOSE LUIS REYES SALZAR LLC,2220 TYLER DR,COLUMBUS,COLUMBUS,IN,47201,USA,FALSE,FALSE,FALSE,FALSE,
Jose Mateo Miguel Baltazar LLC,1335 E 96TH ST,INDIANAPOLIS,INDIANAPOLIS,IN,46240,USA,FALSE,FALSE,FALSE,FALSE,
JOSEFA HERNANDEZ VERA LLC,1306 W WALNUT ST,WASHINGTON,WASHINGTON,IN,47501,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA ESMERALDA LLC,2831 EMBASSY ROW APT 907,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA PANDORA LLC,3585 COMMERCIAL DR STE 100,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
JOYERIA PANDORA LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
JOYERIA REYNA LLC,548 N. BELMONT AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Juan Antonio Construction LLC,3060 EAGLEDALE DR,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Juan Carlos Mejia Villalobos LLC,6535 CROSS KEY DR,INDIANAPOLIS,INDIANAPOLIS,IN,46268,USA,FALSE,FALSE,FALSE,FALSE,
JUAN GARCIA DURAN LLC,6200 BROOKVILLE RD,"LOT 196, INDIANAPOLIS","LOT 196, INDIANAPOLIS",IN,46219,USA,FALSE,FALSE,FALSE,FALSE,
Justo Rogelio Fuentes Morales LLC,4725 MADISON AVE,"40, INDIANAPOLIS","40, INDIANAPOLIS",IN,46225,USA,FALSE,FALSE,FALSE,FALSE,
Kathy's Rides LLC,3002 W. 16TH ST APT A,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
KEVIN ALONSO VARGAS LLC,4727 E 33 ST,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
KONDOR HIGH PERFORMANCE LLC,2045 E MINNESOTA ST,INDIANAPOLIS,INDIANAPOLIS,IN,46203,USA,FALSE,FALSE,FALSE,FALSE,
L&C FLOORING LLC,420 S LYNHURST DR,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
LA BOUTIQUE DE LAS JOYAS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
La Burbuja LLC,3585 COMMERCIAL DR,"STE 830, INDIANAPOLIS","STE 830, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
"LA FIESTA BURRITO LLC,",2122 VETERANS MEMORIAL PKWY S. SUITE B,LAFAYETTE,LAFAYETTE,IN,47909,USA,FALSE,FALSE,FALSE,FALSE,
LA FORTALEZA LLC,3585 COMMERCIAL DRIVE STE 404,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
LA MIXTECA RESTAURANT INC,1802 GODER DR,FRANKFORT,FRANKFORT,IN,46041,USA,FALSE,FALSE,FALSE,FALSE,
LALOS CLEANING PRODUCTS LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
LARA LOPEZ LLC,2021 N DEARBORN ST ,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
LeMonique Beauty Salon LLC,2112 FAIR OAKS DR APT B,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
LEOPOLDO E LIZARDO LLC,3530 MISSION DR ,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Libeth Lopez Miranda LLC,3411 ASHLEY LANE APT A,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
LMW Painting LLC,2902 DONNA BELL DR,INDIANAPOLIS,INDIANAPOLIS,IN,46241,USA,FALSE,FALSE,FALSE,FALSE,
LORENA L LAZO MENDEZ LLC,6416 WHITEHAVEN RD APT 1130,INDIANAPOLIS,INDIANAPOLIS,IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
Los Sabores de Andrea LLC,3140 CHRYSLER ST,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
Luis Nicolas Felipe LLC,1040 KATHERINE CT,"3, SEYMOUR","3, SEYMOUR",IN,47274,USA,FALSE,FALSE,FALSE,FALSE,
"M & V INDY PHONE REPAIR, LLC",3585 COMMERCIAL DR ,"# 233, INDIANAPOLIS","# 233, INDIANAPOLIS",IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Mabel Alvarez Rivera LLC,3448 W. 10TH ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
MALAGON'S LLC,3968 S. 1300 E,MACY,MACY,IN,46951,USA,FALSE,FALSE,FALSE,FALSE,
MALDONADO LLC,1314 N GRANT AVE.,INDIANAPOLIS,INDIANAPOLIS,IN,46201,USA,FALSE,FALSE,FALSE,FALSE,
Manuel Lopez Gonzalez LLC,2850 EMBASSY ROW,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARIA A GONZALES LLC,60 PORT O CALL DR APT C,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARIA SALGUERO SANTOS-MEJIA LLC,5316 W 36TH ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARILYN LLC,5640 W 38TH ST,"6, INDIANAPOLIS","6, INDIANAPOLIS",IN,46254,USA,FALSE,FALSE,FALSE,FALSE,
MARIN ENTERPRISE LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
MARIO GUZMAN-PECINA LLC,9133 BREEN CT,INDIANAPOLIS,INDIANAPOLIS,IN,46235,USA,FALSE,FALSE,FALSE,FALSE,
Maritza Areli Guevara Abarca LLC,945 KETCHAM ST.,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Martir Figueroa LLC,921 W 1ST ST ,ANDERSON,ANDERSON,IN,46016,USA,FALSE,FALSE,FALSE,FALSE,
Marval's LLC,2725 EMBASSY ROW 423,INDIANAPOLIS,INDIANAPOLIS,IN,46224,USA,FALSE,FALSE,FALSE,FALSE,
MARVIN A PINEDA LLC,5030 ELLIOT AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
Mechanic Auto Motors LLC,17367 CAYUGA DR,WESTFIELD,WESTFIELD,IN,46074,USA,FALSE,FALSE,FALSE,FALSE,
MEGA BALEADAS INDY LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Mendez Butterflies LLC,7208 KINGSWOOD CT,"208, INDIANAPOLIS","208, INDIANAPOLIS",IN,46256,USA,FALSE,FALSE,FALSE,FALSE,
Mendozaa LLC,8 BINGHAM COURT,INDIANAPOLIS,INDIANAPOLIS,IN,46222,USA,FALSE,FALSE,FALSE,FALSE,
MERARYS BOUTIQUE LLC,,,,,,,FALSE,FALSE,FALSE,FALSE,
Milton A Garcia Salguero LLC,3541 N GLADSTONE AVE,INDIANAPOLIS,INDIANAPOLIS,IN,46218,USA,FALSE,FALSE,FALSE,FALSE,
