code,name,type,detail_type,description,parent_account,entity,account_number,routing_number,institution,is_sub_account,active,tax_form,tax_line
P210,Pers - Liabilitiesmortgages,liability,Other Current Liabilities,,Pers - Liabilities,personal,,,,true,true,,
P211,Pers - Liabilitieshome Mortgage 1,liability,Other Current Liabilities,Home Mortgage 1,Pers - Liabilitiesmortgages,personal,,,,true,true,,
P212,Pers - Liabilitieshome Mortgage 2,liability,Other Current Liabilities,Home Mortgage 2,Pers - Liabilitiesmortgages,personal,,,,true,true,,
P220,Pers - Liabilities 1,liability,Other Current Liabilities,Personal Liability 1,Pers - Liabilities,personal,,,,true,true,,
P221,Pers - Liabilities 4,liability,Other Current Liabilities,Personal Liability 2,Pers - Liabilities,personal,,,,true,true,,
P222,Pers - Liabilities 6,liability,Other Current Liabilities,Personal Liability 3,Pers - Liabilities,personal,,,,true,true,,
P223,Pers - Liabilities 7,liability,Other Current Liabilities,Personal Liability 4,Pers - Liabilities,personal,,,,true,true,,
P224,Pers - Liabilities 8,liability,Other Current Liabilities,Personal Liability 5,Pers - Liabilities,personal,,,,true,true,,
P225,Pers - Liabilities 9,liability,Other Current Liabilities,Personal Liability 6,Pers - Liabilities,personal,,,,true,true,,
P226,Pers - Liabilities 10,liability,Other Current Liabilities,Personal Liability 7,Pers - Liabilities,personal,,,,true,true,,
P227,Pers - Liabilities 11,liability,Other Current Liabilities,Personal Liability 8,Pers - Liabilities,personal,,,,true,true,,
P228,Pers - Liabilities 13,liability,Other Current Liabilities,Personal Liability 9,Pers - Liabilities,personal,,,,true,true,,
P229,Pers - Liabilities 12,liability,Other Current Liabilities,Personal Liability 10,Pers - Liabilities,personal,,,,true,true,,
P230,Pers - Liabilities 14,liability,Other Current Liabilities,Personal Liability 11,Pers - Liabilities,personal,,,,true,true,,
P231,Pers - Liabilities 15,liability,Other Current Liabilities,Personal Liability 12,Pers - Liabilities,personal,,,,true,true,,
P232,Pers - Liabilities 16,liability,Other Current Liabilities,Personal Liability 13,Pers - Liabilities,personal,,,,true,true,,
P233,Pers - Liabilities 17,liability,Other Current Liabilities,Personal Liability 14,Pers - Liabilities,personal,,,,true,true,,
P234,Pers - Liabilities 18,liability,Other Current Liabilities,Personal Liability 15,Pers - Liabilities,personal,,,,true,true,,
P235,Pers - Liabilities 19,liability,Other Current Liabilities,Personal Liability 16,Pers - Liabilities,personal,,,,true,true,,
P236,Pers - Liabilities 20,liability,Other Current Liabilities,Personal Liability 17,Pers - Liabilities,personal,,,,true,true,,
P237,Pers - Liabilities 2,liability,Other Current Liabilities,Personal Liability 18,Pers - Liabilities,personal,,,,true,true,,
P238,Pers - Liabilities 3,liability,Other Current Liabilities,Personal Liability 19,Pers - Liabilities,personal,,,,true,true,,
P239,Pers - Liabilities 5,liability,Other Current Liabilities,Personal Liability 20,Pers - Liabilities,personal,,,,true,true,,
P400,Pers - Income,revenue,Service / Fee Income,,,personal,,,,false,true,,
P410,Pers - Income:wages,revenue,Service / Fee Income,,Pers - Income,personal,,,,true,true,,
P420,Pers - Income:interest,revenue,Service / Fee Income,,Pers - Income,personal,,,,true,true,,
P430,Pers - Income:dividends,revenue,Service / Fee Income,,Pers - Income,personal,,,,true,true,,
P480,Pers - Income:other,revenue,Service / Fee Income,,Pers - Income,personal,,,,true,true,,
P501,Pers,expense,Other Expenses,,,personal,,,,false,true,,
P502,Pers - Entertainmentoutings,expense,Other Expenses,,Pers - Entertainment,personal,,,,true,true,,
P503,Pers Exp,expense,Other Expense,Expense account tracking business pers exp expenditures.,,personal,,,,false,true,,
P504,Pers Entertainment,expense,Other Expense,Expense account tracking business pers entertainment expenditures.,Pers Exp,personal,,,,true,true,,
P505,Pers Food,expense,Other Expense,"Expense account tracking business dining, catering, and...",Pers Exp,personal,,,,true,true,,
P506,Pers Food Dining Out,expense,Other Expense,"Expense account tracking business dining, catering, and...",Pers Food,personal,,,,true,true,,
P507,Pers Food Groceries,expense,Other Expense,"Expense account tracking business dining, catering, and...",Pers Food,personal,,,,true,true,,
P508,Pers Gifts,expense,Other Expense,Expense account tracking business pers gifts expenditures.,Pers Exp,personal,,,,true,true,,
P509,Pers Health,expense,Other Expense,Expense account tracking business pers health expenditures.,Pers Exp,personal,,,,true,true,,
P510,Pers - Entertainment,expense,Other Expenses,,Pers,personal,,,,true,true,,
P511,Pers Health Insurance,expense,Other Expense,Expense account tracking business insurance premiums and...,Pers Health,personal,,,,true,true,,
P512,Pers Health Medical,expense,Other Expense,Expense account tracking business pers health medical...,Pers Health,personal,,,,true,true,,
P513,Pers Home,expense,Other Expense,Expense account tracking business pers home expenditures.,Pers Exp,personal,,,,true,true,,
P514,Pers Home HOA,expense,Other Expense,Expense account tracking business pers home hoa...,Pers Home,personal,,,,true,true,,
P515,Pers Home Insurance,expense,Other Expense,Expense account tracking business insurance premiums and...,Pers Home,personal,,,,true,true,,
P516,Pers Home Mortgage Interest,expense,Other Expense,Long-term liability account tracking outstanding loan and...,Pers Home,personal,,,,true,true,,
P517,Pers Home Other,expense,Other Expense,Expense account tracking business pers home other...,Pers Home,personal,,,,true,true,,
P518,Pers Home Repairs,expense,Other Expense,Expense account tracking business pers home repairs...,Pers Home,personal,,,,true,true,,
P519,Pers Home Taxes,expense,Other Expense,"Expense account tracking business taxes, licenses, and...",Pers Home,personal,,,,true,true,,
P520,Pers - Food,expense,Other Expenses,,Pers,personal,,,,true,true,,
P521,Pers - Fooddiningout,expense,Other Expenses,,Pers - Food,personal,,,,true,true,,
P522,Pers - Foodgroceries,expense,Other Expenses,,Pers - Food,personal,,,,true,true,,
P523,Pers Home Utilties,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Home,personal,,,,true,true,,
P524,Pers Home Utilties Electric,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Home Utilties,personal,,,,true,true,,
P525,Pers - Gifts,expense,Other Expenses,,Pers,personal,,,,true,true,,
P526,Pers Home Utilties Water,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Home Utilties,personal,,,,true,true,,
P527,Pers Self Care,expense,Other Expense,Expense account tracking business pers self care...,Pers Exp,personal,,,,true,true,,
P528,Pers Subscriptions,expense,Other Expense,"Expense account tracking software licensing, developer tools,...",Pers Exp,personal,,,,true,true,,
P529,Pers Transportation,expense,Other Expense,Expense account tracking business pers transportation expenditures.,Pers Exp,personal,,,,true,true,,
P530,Pers - Health,expense,Other Expenses,,Pers,personal,,,,true,true,,
P531,Pers - Healthinsurance,expense,Other Expenses,,Pers - Health,personal,,,,true,true,,
P532,Pers - Health: Medical,expense,Other Expenses,,Pers - Health,personal,,,,true,true,,
P533,Pers Utilities,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Exp,personal,,,,true,true,,
P534,Pers Utilities Internet,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Utilities,personal,,,,true,true,,
P535,Pers Utilities Telephone,expense,Other Expense,"Expense account tracking utility bills, phone lines,...",Pers Utilities,personal,,,,true,true,,
P540,Pers - Home,expense,Other Expenses,,Pers,personal,,,,true,true,,
P541,Pers - Homehoa,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P542,Pers - Homeinsurance,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P543,Pers - Home Mortgage Interest,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P544,Pers - Homeother,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P545,Pers - Homerepairs,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P546,Pers - Hometaxes,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P547,Pers - Home Utilities,expense,Other Expenses,,Pers - Home,personal,,,,true,true,,
P548,Pers - Home Utilitieselectric,expense,Other Expenses,,Pers - Home Utilities,personal,,,,true,true,,
P549,Pers - Home Utilitieswater,expense,Other Expenses,,Pers - Home Utilities,personal,,,,true,true,,
P550,Pers - Self Care,expense,Other Expenses,,Pers,personal,,,,true,true,,
P555,Pers - Subscriptions,expense,Other Expenses,,Pers,personal,,,,true,true,,
P560,Pers - Transportation,expense,Other Expenses,,Pers,personal,,,,true,true,,
P569,Honduras,expense,Other Expense,Expense account tracking business honduras expenditures.,Pers Exp,personal,,,,true,true,,
P570,Pers - Utilities,expense,Other Expenses,,Pers,personal,,,,true,true,,
P571,Pers - Utilities: Internet,expense,Other Expenses,,Pers - Utilities,personal,,,,true,true,,
P572,Pers - Utilities: Telephone,expense,Other Expenses,,Pers - Utilities,personal,,,,true,true,,
P589,Interest Paid,expense,Other Expense,Expense account tracking business interest paid expenditures.,Pers Exp,personal,,,,true,true,,
